Count,,Secili Rota,,POTC,,Reliability,,Robot Reliability ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Robot Zaman ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Robot Mesafe ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Ortalama Zaman,,Ortalama Mesafe,,Rota Secilme Miktari ->,Rota Numarasi,Secilme Miktari
1,,1055,,0.880597539943346,,0.4354813261270527,,,0.9999062674869166,0.9499109541125706,0.8992259991997541,0.8498998819464698,0.7999442571982389,0.7499477411233489,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,1
2,,1055,,0.8804993841829114,,0.4349133938891788,,,0.999812543759617,0.9498219165716362,0.8984526640408844,0.8497997756854392,0.7998885182805526,0.7498954858880181,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,2
3,,1055,,0.8804012393634039,,0.4343462023191762,,,0.999718828817278,0.9497328873764141,0.8976799939509391,0.8496996812155192,0.7998327832466707,0.7498432342937539,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,3
4,,1055,,0.8803031054836035,,0.433779750451104,,,0.9996251226590762,0.9496438665261224,0.8969079883579579,0.8495995985353209,0.7997770520963224,0.7497909863403024,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,4
5,,1055,,0.8802049825422914,,0.43321403732028174,,,0.999531425284188,0.9495548540199787,0.8961366466904734,0.8494995276434557,0.7997213248292373,0.7497387420274101,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,5
6,,1055,,0.8801068705382475,,0.43264906196328573,,,0.9994377366917903,0.9494658498572008,0.8953659683775087,0.8493994685385352,0.7996656014451446,0.7496865013548233,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,6
7,,1055,,0.8800087694702536,,0.43208482341794996,,,0.9993440568810598,0.9493768540370068,0.8945959528485783,0.8492994212191709,0.7996098819437739,0.7496342643222883,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,7
8,,1055,,0.8799106793370901,,0.43152132072336247,,,0.9992503858511733,0.9492878665586146,0.8938265995336875,0.8491993856839747,0.7995541663248545,0.7495820309295514,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,8
9,,1055,,0.8798126001375386,,0.43095855291986485,,,0.9991567236013079,0.9491988874212425,0.8930579078633315,0.8490993619315585,0.7994984545881161,0.7495298011763591,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,9
10,,1055,,0.8797145318703801,,0.4303965190490503,,,0.9990630701306406,0.9491099166241085,0.8922898772684956,0.8489993499605347,0.7994427467332881,0.7494775750624579,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,10
