Count,,Secili Rota,,POTC,,Reliability,,Robot Reliability ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Robot Zaman ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Robot Mesafe ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Ortalama Zaman,,Ortalama Mesafe,,Rota Secilme Miktari ->,Rota Numarasi,Secilme Miktari
1,,3755,,0.9995948493186289,,0.9993634013260836,,,0.9998860488540362,0.9998886305075979,0.9999458979913444,0.9998574164160055,0.9999458979913443,0.9998393455451983,,,0.2247685185185185,0.2196759259259259,0.10671296296296295,0.28124999999999994,0.10671296296296295,0.3168981481481481,,,0.971,0.9490000000000001,0.461,1.215,0.46099999999999997,1.3690000000000002,,00:12:33,,0.9043333333333333,,,3755,1
2,,4108,,0.9990913349759026,,0.9987307242682734,,,0.9997927617545902,0.9997772734183595,0.9997394922713658,0.999803322121408,0.9998319530103664,0.9997852522282713,,,0.18402777777777776,0.2196759259259259,0.4071759259259259,0.10671296296296295,0.2247685185185185,0.10671296296296295,,,0.795,0.949,1.759,0.46099999999999997,0.971,0.461,,00:12:29,,0.8993333333333333,,,4108,1
3,,4793,,0.9985156966514257,,0.9981050074920573,,,0.999639648969812,0.9997051150149042,0.9996854043567015,0.9996919745329214,0.9996502077193675,0.9997311618379014,,,0.30208333333333337,0.1423611111111111,0.10671296296296295,0.2196759259259259,0.3585648148148148,0.10671296296296295,,,1.3050000000000002,0.615,0.46099999999999997,0.949,1.549,0.461,,00:12:21,,0.89,,,4793,1
4,,1083,,0.9979514301913261,,0.9974836629638583,,,0.9995675004993294,0.9995911974714224,0.999631319368302,0.999637889189062,0.999538877183154,0.9995142430181433,,,0.1423611111111111,0.2247685185185185,0.10671296296296295,0.10671296296296295,0.2196759259259259,0.4280092592592592,,,0.615,0.971,0.461,0.46099999999999997,0.949,1.8489999999999998,,00:12:16,,0.8843333333333332,,,1083,1
5,,3429,,0.9974425474958757,,0.9968587274865045,,,0.9994561791741771,0.9995371175798047,0.9994782313075407,0.9994561791741768,0.9994667359858226,0.9994601672899159,,,0.2196759259259259,0.10671296296296295,0.30208333333333337,0.3585648148148148,0.1423611111111111,0.10671296296296295,,,0.949,0.461,1.3050000000000002,1.549,0.615,0.46099999999999997,,00:12:21,,0.89,,,3429,1
6,,4580,,0.9968673747868099,,0.9962381587977774,,,0.9993422899972196,0.9993202408632168,0.9994060944872937,0.9994021065873202,0.999355425882763,0.9994060944872941,,,0.2247685185185185,0.4280092592592592,0.1423611111111111,0.10671296296296295,0.2196759259259259,0.10671296296296295,,,0.971,1.8489999999999998,0.615,0.461,0.949,0.46099999999999997,,00:12:16,,0.8843333333333333,,,4580,1
7,,802,,0.9963107762432569,,0.9956140036437208,,,0.9992882235719962,0.9992481154458478,0.9992530409184892,0.9992204394320149,0.9993013587468618,0.9992947911378474,,,0.10671296296296295,0.1423611111111111,0.30208333333333337,0.3585648148148148,0.10671296296296295,0.2196759259259259,,,0.461,0.615,1.3050000000000002,1.549,0.46099999999999997,0.949,,00:12:21,,0.89,,,802,1
8,,1083,,0.995742799921216,,0.9949942098257167,,,0.9992161004654585,0.9991342499779905,0.9991989793218202,0.9991663795991518,0.9991900670617814,0.9990779670005605,,,0.1423611111111111,0.2247685185185185,0.10671296296296295,0.10671296296296295,0.2196759259259259,0.4280092592592592,,,0.615,0.971,0.461,0.46099999999999997,0.949,1.8489999999999998,,00:12:16,,0.8843333333333332,,,1083,2
9,,6276,,0.9952388817010002,,0.9943748018443681,,,0.9989992934022498,0.9990801948081499,0.9991268626564398,0.999052523445188,0.9990787877711994,0.9990239148757422,,,0.4280092592592592,0.10671296296296295,0.1423611111111111,0.2247685185185185,0.2196759259259259,0.10671296296296295,,,1.8489999999999998,0.46099999999999997,0.615,0.971,0.949,0.461,,00:12:16,,0.8843333333333333,,,6276,1
10,,1002,,0.9946917372667308,,0.9937557794594815,,,0.9989452455338311,0.9990261425628026,0.9989100749557965,0.9989412594727688,0.9989649415984246,0.9989518108455469,,,0.10671296296296295,0.10671296296296295,0.4280092592592592,0.2196759259259259,0.2247685185185185,0.1423611111111111,,,0.461,0.46099999999999997,1.8489999999999998,0.949,0.971,0.615,,00:12:16,,0.8843333333333333,,,1002,1
11,,4580,,0.9941393320333742,,0.9931371424310141,,,0.9988314145783475,0.9988093767161185,0.9988379791419382,0.9988872147441022,0.9988536873799514,0.9988977655460298,,,0.2247685185185185,0.4280092592592592,0.1423611111111111,0.10671296296296295,0.2196759259259259,0.10671296296296295,,,0.971,1.8489999999999998,0.615,0.461,0.949,0.46099999999999997,,00:12:16,,0.8843333333333333,,,4580,2
12,,1083,,0.9935417405142541,,0.9925188905190724,,,0.9987593244417606,0.9986955612430423,0.9987839400009451,0.9988331729393641,0.9987424455518039,0.998681027554225,,,0.1423611111111111,0.2247685185185185,0.10671296296296295,0.10671296296296295,0.2196759259259259,0.4280092592592592,,,0.615,0.971,0.461,0.46099999999999997,0.949,1.8489999999999998,,00:12:16,,0.8843333333333332,,,1083,3
13,,3024,,0.9930807862124912,,0.9919010234839117,,,0.9986455146721985,0.9986415298071434,0.9987118532908111,0.9986164489626791,0.9986312161126024,0.9986269969046281,,,0.2247685185185185,0.10671296296296295,0.1423611111111111,0.4280092592592592,0.2196759259259259,0.10671296296296295,,,0.971,0.46099999999999997,0.615,1.8489999999999998,0.949,0.461,,00:12:16,,0.8843333333333333,,,3024,1
14,,1059,,0.9924914882434203,,0.9912870312362148,,,0.9985914859439197,0.9985514057825163,0.9984358620408439,0.9985443743411235,0.9985591404252354,0.9985729691781977,,,0.10671296296296295,0.17800925925925926,0.545138888888889,0.1423611111111111,0.1423611111111111,0.10671296296296295,,,0.461,0.7689999999999999,2.3549999999999995,0.615,0.615,0.46099999999999997,,00:12:12,,0.8793333333333333,,,1059,1
15,,6356,,0.9919549173545557,,0.9906699310632772,,,0.9983748144077905,0.9984376197055236,0.9983818446551936,0.9984723049215163,0.9985051163699769,0.9984617586134938,,,0.4280092592592592,0.2247685185185185,0.10671296296296295,0.1423611111111111,0.10671296296296295,0.2196759259259259,,,1.8489999999999998,0.971,0.461,0.615,0.46099999999999997,0.949,,00:12:16,,0.8843333333333333,,,6356,1
16,,3672,,0.9913851105304625,,0.9900532150501352,,,0.9982610484535873,0.9983264242146218,0.9983278301919924,0.9984002407034818,0.9982884635740719,0.9984077398267869,,,0.2247685185185185,0.2196759259259259,0.10671296296296295,0.1423611111111111,0.4280092592592592,0.10671296296296295,,,0.971,0.949,0.461,0.615,1.8489999999999998,0.46099999999999997,,00:12:16,,0.8843333333333332,,,3672,1
