Count,,Secili Rota,,POTC,,Reliability,,Robot Reliability ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Robot Zaman ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Robot Mesafe ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Ortalama Zaman,,Ortalama Mesafe,,Rota Secilme Miktari ->,Rota Numarasi,Secilme Miktari
1,,1055,,0.880597539943346,,0.4354813261270527,,,0.9999062674869166,0.9499109541125706,0.8992259991997541,0.8498998819464698,0.7999442571982389,0.7499477411233489,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,1
2,,1055,,0.8804993841829114,,0.4349133938891788,,,0.999812543759617,0.9498219165716362,0.8984526640408844,0.8497997756854392,0.7998885182805526,0.7498954858880181,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,2
3,,1055,,0.8804012393634039,,0.4343462023191762,,,0.999718828817278,0.9497328873764141,0.8976799939509391,0.8496996812155192,0.7998327832466707,0.7498432342937539,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,3
4,,1055,,0.8803031054836035,,0.433779750451104,,,0.9996251226590762,0.9496438665261224,0.8969079883579579,0.8495995985353209,0.7997770520963224,0.7497909863403024,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,4
5,,1055,,0.8802049825422914,,0.43321403732028174,,,0.999531425284188,0.9495548540199787,0.8961366466904734,0.8494995276434557,0.7997213248292373,0.7497387420274101,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,5
