Count,,Secili Rota,,POTC,,Reliability,,Robot Reliability ->,Robot 1,Robot 2,Robot 3,,Robot Zaman ->,Robot 1,Robot 2,Robot 3,,Robot Mesafe ->,Robot 1,Robot 2,Robot 3,,Ortalama Zaman,,Ortalama Mesafe,,Rota Secilme Miktari ->,Rota Numarasi,Secilme Miktari
26,,590,,0.9629860228962343,,0.9730045023722526,,,0.9909407269885679,0.9910885807988219,0.9907285985936636,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,12
27,,657,,0.96173628042404,,0.9719813655975611,,,0.9905959912420583,0.9905292001033019,0.9905903433551656,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,13
28,,590,,0.9601408938981342,,0.9709538294831735,,,0.990251375424755,0.990397488290736,0.9900191479786993,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,13
29,,657,,0.9589154633593411,,0.9699328490385303,,,0.9899068794949362,0.9898384976550101,0.9898809917433632,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,14
30,,590,,0.9573041707946404,,0.9689074785260972,,,0.9895625034108944,0.9897068776859469,0.9893102053940631,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,14
31,,657,,0.9561029198817718,,0.9678886498668908,,,0.9892182471309369,0.9891482768380241,0.9891721480909941,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,15
32,,590,,0.9544758287506531,,0.9668654403922599,,,0.9888741106133855,0.9890167486484208,0.9886017704759599,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,15
33,,657,,0.9532986257245188,,0.9658487589834567,,,0.9885300938165763,0.9884585373164992,0.9884638120343132,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,16
34,,657,,0.9516667319231188,,0.9648331466387073,,,0.98818619669886,0.987900641044855,0.9883258728446367,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,17
35,,590,,0.9504887885976087,,0.9638131673082186,,,0.9878424192186017,0.987769278754825,0.9877559832098368,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,16
