Count,,Secili Rota,,POTC,,Reliability,,Robot Reliability ->,Robot 1,Robot 2,Robot 3,,Robot Zaman ->,Robot 1,Robot 2,Robot 3,,Robot Mesafe ->,Robot 1,Robot 2,Robot 3,,Ortalama Zaman,,Ortalama Mesafe,,Rota Secilme Miktari ->,Rota Numarasi,Secilme Miktari
1,,623,,0.9991385780976342,,0.9989870054035647,,,0.9996760362986873,0.9996756588703767,0.9996349685464487,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,1
2,,623,,0.9976307244140084,,0.9979750369651819,,,0.9993521775498542,0.9993514229379219,0.9992700703408596,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,2
3,,623,,0.9961251463133508,,0.9969640936453588,,,0.9990284237195001,0.9990272921685156,0.9989053053345928,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,3
4,,623,,0.9946218403614572,,0.9959541744056561,,,0.9987047747736353,0.9987032665280493,0.9985406734790263,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,4
5,,623,,0.9931208031293056,,0.994945278208686,,,0.9983812306782808,0.9983793459824251,0.9981761747255563,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,5
6,,623,,0.9916220311930493,,0.9939374040181116,,,0.998057791399469,0.9980555304975566,0.9978118090255959,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,6
7,,623,,0.9901255211340078,,0.9929305507986463,,,0.9977344569032431,0.9977318200393682,0.9974475763305767,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,7
8,,623,,0.9886312695386624,,0.9919247175160517,,,0.9974112271556576,0.9974082145737955,0.9970834765919475,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,8
9,,623,,0.9871392729986433,,0.9909199031371375,,,0.9970881021227774,0.997084714066785,0.9967195097611752,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,9
10,,623,,0.9856495281107251,,0.9899161066297593,,,0.9967650817706789,0.9967613184842945,0.9963556757897439,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,10
11,,623,,0.9841620314768194,,0.9889133269628191,,,0.9964421660654492,0.9964380277922925,0.9959919746291563,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,11
12,,623,,0.9826767797039645,,0.9879115631062628,,,0.9961193549731865,0.9961148419567587,0.9956284062309321,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,12
13,,623,,0.9811937694043206,,0.9869108140310799,,,0.99579664846,0.9957917609436839,0.9952649705466085,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,13
14,,623,,0.97971299719516,,0.9859110787093031,,,0.9954740464920102,0.9954687847190697,0.9949016675277412,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,14
15,,623,,0.9782344596988602,,0.9849123561140047,,,0.9951515490353479,0.9951459132489292,0.9945384971259029,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,15
16,,623,,0.9767581535428959,,0.9839146452192985,,,0.9948291560561552,0.9948231464992859,0.9941754592926841,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,16
17,,623,,0.9752840753598321,,0.9829179450003378,,,0.9945068675205855,0.9945004844361751,0.9938125539796934,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,17
18,,623,,0.9738122217873147,,0.9819222544333133,,,0.9941846833948025,0.9941779270256423,0.9934497811385566,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,18
19,,623,,0.9723425894680657,,0.980927572495453,,,0.9938626036449816,0.9938554742337444,0.9930871407209174,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,19
20,,623,,0.9708751750498703,,0.9799338981650209,,,0.9935406282373085,0.9935331260265492,0.992724632678437,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,20
21,,623,,0.9694099751855755,,0.9789412304213159,,,0.99321875713798,0.9932108823701357,0.9923622569627942,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,21
22,,623,,0.9679469865330804,,0.9779495682446714,,,0.9928969903132042,0.9928887432305936,0.9920000135256858,,,0.32291666666666663,0.3516203703703703,0.3585648148148147,,,1.395,1.519,1.549,,00:20:39,,1.4876666666666665,,,623,22
