Count,,Secili Rota,,POTC,,Reliability,,Robot Reliability ->,Robot 1,Robot 2,Robot 3,,Robot Zaman ->,Robot 1,Robot 2,Robot 3,,Robot Mesafe ->,Robot 1,Robot 2,Robot 3,,Ortalama Zaman,,Ortalama Mesafe,,Rota Secilme Miktari ->,Rota Numarasi,Secilme Miktari
26,,657,,0.98257160662508,,0.9872765995431125,,,0.9957486197568567,0.9957137954408365,0.9957598385878379,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,12
27,,590,,0.9818726084431751,,0.9867908850464108,,,0.995578132455669,0.9956208976031663,0.9955332660788286,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,11
28,,657,,0.9812196402492842,,0.9863054095086521,,,0.995407674344499,0.9953943567084145,0.9954403850841382,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,13
29,,590,,0.9805216038517751,,0.9858201728122743,,,0.995237245418349,0.9953014886736532,0.995213885262718,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,12
30,,657,,0.97986953410746,,0.9853351748397738,,,0.995066845672222,0.995075020456348,0.9951210340655331,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,14
31,,312,,0.9791777995169126,,0.9848504154737051,,,0.9949740081934975,0.9949046484856008,0.9948946069083828,,,0.18402777777777776,0.33773148148148147,0.4488425925925925,,,0.795,1.459,1.9389999999999998,,00:19:24,,1.3976666666666666,,,312,4
32,,657,,0.9784846844097057,,0.9843658945966792,,,0.9948036535175853,0.994678270564242,0.994801785499144,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,15
33,,590,,0.9778757667810895,,0.9838816120913659,,,0.9946333280089833,0.9945854693386931,0.9945754309829518,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,13
34,,657,,0.9771383414219457,,0.9833975678404927,,,0.9944630316626976,0.994359164042497,0.9944826393521023,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,16
35,,590,,0.9765302616316643,,0.9829137617268446,,,0.9942927644737354,0.9942663925888626,0.994256357453564,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,14
36,,657,,0.9757938509306733,,0.9824301936332641,,,0.9941225264371043,0.9940401598945298,0.9941635955915511,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,17
37,,590,,0.975186607825906,,0.9819468634426513,,,0.9939523175478131,0.9939474182032584,0.9939373862873697,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,15
38,,657,,0.9744512103869505,,0.9814637710379641,,,0.9937821378008712,0.993721258087497,0.9938446541846426,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,18
39,,590,,0.9738448028164629,,0.9809809163022186,,,0.9936119871912892,0.9936285461490405,0.9936185174515293,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,16
40,,312,,0.973110626583719,,0.9804982991184871,,,0.9935192854475594,0.993458421836684,0.9933924321729583,,,0.18402777777777776,0.33773148148148147,0.4488425925925925,,,0.795,1.459,1.9389999999999998,,00:19:24,,1.3976666666666666,,,312,5
41,,657,,0.9724790198165091,,0.9800159193699008,,,0.9933491798422962,0.9932323729858378,0.9932997509132134,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,19
42,,590,,0.9718112088381381,,0.9795337769396475,,,0.9931791033616985,0.993139706659252,0.9930737381659213,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,17
43,,657,,0.9711409403044484,,0.9790518717109725,,,0.9930090560007797,0.992913730327998,0.9929810866396039,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,20
44,,590,,0.9704740481985357,,0.9785702035671794,,,0.9928390377545543,0.9928210937300491,0.9927551464003216,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,18
45,,657,,0.969804701918771,,0.978088772391628,,,0.9926690486180372,0.9925951898951221,0.9926625245978932,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,21
46,,590,,0.9691387274209968,,0.9776075780677361,,,0.9924990885862446,0.9925025830162728,0.9924366568433587,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,19
47,,657,,0.9684703021261848,,0.9771266204789792,,,0.9923291576541932,0.9922767516544146,0.9923440647552834,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,22
48,,590,,0.9678052439739695,,0.9766458995088895,,,0.9921592558169007,0.9921841744851307,0.9921182694622428,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,20
49,,657,,0.9671377383968833,,0.9761654150410567,,,0.9919893830693853,0.9919584155730915,0.9920257070789876,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,23
50,,590,,0.966473595329384,,0.9756851669591277,,,0.9918195394066668,0.9918658681038415,0.9917999842241946,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,21
