0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
32,199,259,409,559,709,122,182,332,482,632,45,105,255,405,555,122,182,332,482,632,149,404,389,167,227,227,287,377,437,527,587,0,60,150,210,300,360,450,510,167,227,227,287,377,437,527,587,179
33,259,199,349,499,649,182,122,272,422,572,105,45,195,345,495,182,122,272,422,572,209,406,329,227,167,167,227,317,377,467,527,60,0,90,150,240,300,390,450,227,167,167,227,317,377,467,527,239
34,349,199,259,409,559,272,122,182,332,482,195,45,105,255,405,272,122,182,332,482,299,316,239,227,167,167,227,227,287,377,437,150,90,0,60,150,210,300,360,227,167,167,227,227,287,377,437,329
35,409,259,199,349,499,332,182,122,272,422,255,105,45,195,345,332,182,122,272,422,359,256,179,287,227,227,167,167,227,317,377,210,150,60,0,90,150,240,300,287,227,227,167,167,227,317,377,389
36,499,349,199,259,409,422,272,122,182,332,345,195,45,105,255,422,272,122,182,332,449,256,179,377,317,227,167,167,227,227,287,300,240,150,90,0,60,150,210,377,317,227,167,167,227,227,287,479
37,559,409,259,199,349,482,332,182,122,272,405,255,105,45,195,482,332,182,122,272,509,316,239,437,377,287,227,227,167,167,227,360,300,210,150,60,0,90,150,437,377,287,227,227,167,167,227,539
38,649,499,349,199,259,572,422,272,122,182,495,345,195,45,105,572,422,272,122,182,599,406,329,527,467,377,317,227,167,167,227,450,390,300,240,150,90,0,60,527,467,377,317,227,167,167,227,629
39,709,559,409,259,199,632,482,332,182,122,555,405,255,105,45,632,482,332,182,122,659,466,389,587,527,437,377,287,227,227,167,510,450,360,300,210,150,60,0,587,527,437,377,287,227,227,167,689
40,276,336,486,636,786,199,259,409,559,709,122,182,332,482,632,45,105,255,405,555,72,327,312,244,304,304,364,454,514,604,664,167,227,227,287,377,437,527,587,0,60,150,210,300,360,450,510,102
41,336,276,426,576,726,259,199,349,499,649,182,122,272,422,572,105,45,195,345,495,132,329,252,304,244,244,304,394,454,544,604,227,167,167,227,317,377,467,527,60,0,90,150,240,300,390,450,162
42,426,276,336,486,636,349,199,259,409,559,272,122,182,332,482,195,45,105,255,405,222,239,162,304,244,244,304,304,364,454,514,227,167,167,227,227,287,377,437,150,90,0,60,150,210,300,360,252
43,486,336,276,426,576,409,259,199,349,499,332,182,122,272,422,255,105,45,195,345,282,179,102,364,304,304,244,244,304,394,454,287,227,227,167,167,227,317,377,210,150,60,0,90,150,240,300,312
44,576,426,276,336,486,499,349,199,259,409,422,272,122,182,332,345,195,45,105,255,372,179,102,454,394,304,244,244,304,304,364,377,317,227,167,167,227,227,287,300,240,150,90,0,60,150,210,402
45,636,486,336,276,426,559,409,259,199,349,482,332,182,122,272,405,255,105,45,195,432,239,162,514,454,364,304,304,244,244,304,437,377,287,227,227,167,167,227,360,300,210,150,60,0,90,150,462
46,726,576,426,276,336,649,499,349,199,259,572,422,272,122,182,495,345,195,45,105,522,329,252,604,544,454,394,304,244,244,304,527,467,377,317,227,167,167,227,450,390,300,240,150,90,0,60,552
47,786,636,486,336,276,709,559,409,259,199,632,482,332,182,122,555,405,255,105,45,582,389,312,664,604,514,454,364,304,304,244,587,527,437,377,287,227,227,167,510,450,360,300,210,150,60,0,612
48,890,740,590,740,890,813,663,513,663,813,736,586,436,586,736,659,509,359,509,659,686,225,302,768,708,618,558,558,618,708,768,691,631,541,481,481,541,631,691,614,554,464,404,404,464,554,614,0
